Date,Close/Last
07/15/2025,$170.70
07/16/2025,$171.37
07/17/2025,$173.00
07/18/2025,$172.41
07/21/2025,$171.38
07/22/2025,$167.03
07/23/2025,$170.78
07/24/2025,$173.74
07/25/2025,$173.50
07/28/2025,$176.75
07/29/2025,$175.51
07/30/2025,$179.27
07/31/2025,$177.87
08/01/2025,$173.72
08/04/2025,$180.00
08/05/2025,$178.26
08/06/2025,$179.42
08/07/2025,$180.77
08/08/2025,$182.70
08/11/2025,$182.06
08/12/2025,$183.16
08/13/2025,$181.59
08/14/2025,$182.02
08/15/2025,$180.45
08/18/2025,$182.01
08/19/2025,$175.64
08/20/2025,$175.40
08/21/2025,$174.98
08/22/2025,$177.99
08/25/2025,$179.81
08/26/2025,$181.77
08/27/2025,$181.60
08/28/2025,$180.17
08/29/2025,$174.18
09/02/2025,$170.78
09/03/2025,$170.62
09/04/2025,$171.66
09/05/2025,$167.02
09/08/2025,$168.31
09/09/2025,$170.76
09/10/2025,$177.33
09/11/2025,$177.17
09/12/2025,$177.82
09/15/2025,$177.75
09/16/2025,$174.88
09/17/2025,$170.29
09/18/2025,$176.24
09/19/2025,$176.67
09/22/2025,$183.61
09/23/2025,$178.43
09/24/2025,$176.97
09/25/2025,$177.69
09/26/2025,$178.19
09/29/2025,$181.85
09/30/2025,$186.58
10/01/2025,$187.24
10/02/2025,$188.89
10/03/2025,$187.62
10/06/2025,$185.54
10/07/2025,$185.04
10/08/2025,$189.11
10/09/2025,$192.57
10/10/2025,$183.16
10/13/2025,$188.32
10/14/2025,$180.03
10/15/2025,$179.83
10/16/2025,$181.81
10/17/2025,$183.22
10/20/2025,$182.64
10/21/2025,$181.16
10/22/2025,$180.28
10/23/2025,$182.16
10/24/2025,$186.26
10/27/2025,$191.49
10/28/2025,$201.03
10/29/2025,$207.04
10/30/2025,$202.89
10/31/2025,$202.49
11/03/2025,$206.88
11/04/2025,$198.69
11/05/2025,$195.21
11/06/2025,$188.08
11/07/2025,$188.15
11/10/2025,$199.05
11/11/2025,$193.16
11/12/2025,$193.80
11/13/2025,$186.86
11/14/2025,$190.17
11/17/2025,$186.60
11/18/2025,$181.36
11/19/2025,$186.52
11/20/2025,$180.64
11/21/2025,$178.88
11/24/2025,$182.55
11/25/2025,$177.82
11/26/2025,$180.26
11/28/2025,$177.00
12/01/2025,$179.92
12/02/2025,$181.46
12/03/2025,$179.59
